timestamp,milivolt,miliamp,miliwatt
1651298930,11850,466,5522.1
1651298931,11860,465,5514.9
1651298932,11850,466,5522.1
1651298933,11860,465,5514.9
1651298934,11850,466,5522.1
1651298935,11850,465,5510.25
1651298936,11850,471,5581.35
1651298937,11850,470,5569.5
1651298938,11850,470,5569.5
1651298939,11850,471,5581.35
1651298940,11850,470,5569.5
1651298941,11850,471,5581.35
1651298942,11860,470,5574.2
1651298943,11850,470,5569.5
1651298944,11850,471,5581.35
1651298945,11850,471,5581.35
1651298946,11850,471,5581.35
1651298947,11850,472,5593.2
1651298948,11850,471,5581.35
1651298949,11850,470,5569.5
1651298950,11850,471,5581.35
1651298951,11850,471,5581.35
1651298952,11860,470,5574.2
1651298953,11850,471,5581.35
1651298954,11850,471,5581.35
1651298955,11850,470,5569.5
1651298956,11850,470,5569.5
1651298957,11850,471,5581.35
1651298958,11850,470,5569.5
1651298959,11850,471,5581.35
1651298960,11850,470,5569.5
1651298961,11850,470,5569.5
1651298962,11850,470,5569.5
1651298963,11850,470,5569.5
1651298964,11850,470,5569.5
1651298965,11850,470,5569.5
1651298966,11850,470,5569.5
1651298967,11860,471,5586.06
1651298968,11850,470,5569.5
1651298969,11850,470,5569.5
1651298970,11850,471,5581.35
1651298971,11850,470,5569.5
1651298972,11850,471,5581.35
1651298973,11850,470,5569.5
1651298974,11850,470,5569.5
1651298975,11850,471,5581.35
1651298976,11850,470,5569.5
1651298977,11850,470,5569.5
1651298978,11850,475,5628.75
1651298979,11850,470,5569.5
1651298980,11850,471,5581.35
1651298981,11850,471,5581.35
1651298982,11850,470,5569.5
1651298983,11850,470,5569.5
1651298984,11850,470,5569.5
1651298985,11850,470,5569.5
1651298986,11850,470,5569.5
1651298987,11850,470,5569.5
1651298988,11850,471,5581.35
1651298989,11850,471,5581.35
1651298990,11850,471,5581.35
1651298991,11850,471,5581.35
1651298992,11850,470,5569.5
1651298993,11850,470,5569.5
1651298994,11850,471,5581.35
1651298995,11860,471,5586.06
1651298996,11850,469,5557.65
1651298997,11860,466,5526.76
1651298998,11860,466,5526.76
1651298999,11860,466,5526.76
1651299000,11850,467,5533.95
1651299001,11850,466,5522.1
1651299002,11860,466,5526.76
1651299003,11860,466,5526.76
1651299004,11860,466,5526.76
1651299005,11860,466,5526.76
1651299006,11860,466,5526.76
1651299007,11860,466,5526.76
1651299008,11860,467,5538.62
1651299009,11850,466,5522.1
1651299010,11860,466,5526.76
1651299011,11860,466,5526.76
1651299012,11860,466,5526.76
1651299013,11860,466,5526.76
1651299014,11860,466,5526.76
1651299015,11860,466,5526.76
1651299016,11860,466,5526.76
1651299017,11850,466,5522.1
1651299018,11850,466,5522.1
1651299019,11850,466,5522.1
1651299020,11850,465,5510.25
1651299021,11860,466,5526.76
1651299022,11850,466,5522.1
1651299023,11850,466,5522.1
1651299024,11850,465,5510.25
1651299025,11850,466,5522.1
1651299026,11860,466,5526.76
1651299027,11850,466,5522.1
1651299028,11850,466,5522.1
1651299029,11850,465,5510.25
1651299030,11850,465,5510.25
1651299031,11850,466,5522.1
1651299032,11850,466,5522.1
1651299033,11850,465,5510.25
1651299034,11850,466,5522.1
1651299035,11860,466,5526.76
1651299036,11850,466,5522.1
1651299037,11850,466,5522.1
1651299038,11860,467,5538.62
1651299039,11850,467,5533.95
1651299040,11850,466,5522.1
1651299041,11850,466,5522.1
1651299042,11850,466,5522.1
1651299043,11850,467,5533.95
1651299044,11850,467,5533.95
1651299045,11860,466,5526.76
1651299046,11850,466,5522.1
1651299047,11860,466,5526.76
1651299048,11860,466,5526.76
1651299049,11860,466,5526.76
1651299050,11860,466,5526.76
1651299051,11860,466,5526.76
1651299052,11860,466,5526.76
1651299053,11860,466,5526.76
1651299054,11860,466,5526.76
1651299055,11850,466,5522.1
1651299056,11860,468,5550.48
1651299057,11860,465,5514.9
1651299058,11860,465,5514.9
1651299059,11850,467,5533.95
1651299060,11850,467,5533.95
1651299061,11850,470,5569.5
1651299062,11860,466,5526.76
1651299063,11860,466,5526.76
1651299064,11860,466,5526.76
1651299065,11860,466,5526.76
1651299066,11860,465,5514.9
1651299067,11850,466,5522.1
1651299068,11860,466,5526.76
1651299069,11860,467,5538.62
1651299070,11860,465,5514.9
1651299071,11860,465,5514.9
1651299072,11860,466,5526.76
1651299073,11860,467,5538.62
1651299074,11860,465,5514.9
1651299075,11860,466,5526.76
1651299076,11850,467,5533.95
1651299077,11860,467,5538.62
1651299078,11850,466,5522.1
1651299079,11850,466,5522.1
1651299080,11850,467,5533.95
1651299081,11850,466,5522.1
1651299082,11860,466,5526.76
1651299083,11850,466,5522.1
1651299084,11850,467,5533.95
1651299085,11860,467,5538.62
1651299086,11860,465,5514.9
1651299087,11850,465,5510.25
1651299088,11850,466,5522.1
1651299089,11860,470,5574.2
1651299090,11860,467,5538.62
1651299091,11860,465,5514.9
1651299092,11860,465,5514.9
1651299093,11860,467,5538.62
